;data_iniSE;SE;casos;nivel;pop;tempmin;umidmax;umidmed;umidmin;tempmed;tempmax;municipios;index;latitude;longitude
4019;2024-12-15;202451;18;4;304758.0;19.0485857142857;94.0560142857143;82.9992428571429;67.3510428571429;21.6659571428571;25.4806285714286;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4020;2024-12-08;202450;29;4;304758.0;18.7012;94.6491;81.2392285714286;63.1543571428571;21.4683285714286;25.3544142857143;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4021;2024-12-01;202449;21;4;304758.0;18.9875142857143;92.8870285714286;81.2730714285714;63.5940285714286;22.4153571428571;26.7405142857143;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4022;2024-11-24;202448;21;4;304758.0;17.2257857142857;89.0987857142857;72.2694142857143;50.9043;21.1949;26.3075857142857;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4023;2024-11-17;202447;25;4;304758.0;17.6954142857143;95.8112571428571;83.7144285714286;66.6315571428571;20.2457714285714;23.9270714285714;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4024;2024-11-10;202446;16;4;304758.0;16.6477;93.6788714285714;84.092;68.8493142857143;19.2342142857143;22.7713571428571;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4025;2024-11-03;202445;21;4;304758.0;18.4983285714286;92.5699142857143;81.5247714285714;68.2711714285714;20.6803;23.2260571428571;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4026;2024-10-27;202444;17;4;304758.0;16.6262;96.6117714285714;82.2025285714286;65.3455428571429;19.2012285714286;22.5309428571429;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4027;2024-10-20;202443;19;4;304758.0;18.6917285714286;92.5251285714286;81.7024428571429;64.6876;21.6444857142857;25.8849571428571;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4028;2024-10-13;202442;14;4;304758.0;16.6512;92.4432428571429;78.3483428571429;59.3049428571429;19.8621285714286;24.4528571428571;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4029;2024-10-06;202441;19;1;304758.0;16.4070428571429;92.0670428571429;78.1197428571429;59.8206285714286;19.8440571428571;25.1789142857143;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4030;2024-09-29;202440;12;1;304758.0;16.2420571428571;90.3117285714286;72.9348;51.1779142857143;20.1813428571429;25.2979714285714;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4031;2024-09-22;202439;12;4;304758.0;17.3848714285714;88.6452142857143;66.5082;42.4835142857143;22.0176571428571;27.7939714285714;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4032;2024-09-15;202438;16;4;304758.0;15.6528571428571;92.1705285714286;74.5581142857143;51.8068428571429;19.565;24.9258571428571;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4033;2024-09-08;202437;13;4;304758.0;16.1049571428571;75.2145142857143;54.9744;31.6596;22.1792285714286;28.9472285714286;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4034;2024-09-01;202436;16;4;304758.0;15.6494;95.4719;74.8252428571429;46.6982428571429;20.4257;26.9867428571429;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4035;2024-08-25;202435;14;4;304758.0;10.9907;91.9878571428572;74.6775571428571;50.8166714285714;15.5560142857143;21.1147142857143;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4036;2024-08-18;202434;14;1;304758.0;14.3568285714286;82.5136;61.4574428571429;37.1294;20.1790285714286;27.1798714285714;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4037;2024-08-11;202433;10;4;304758.0;9.66275714285714;89.5727142857143;70.5841;42.6816714285714;15.2925142857143;22.1542428571429;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4038;2024-08-04;202432;16;4;304758.0;13.6413571428571;85.6241857142857;69.2114857142857;47.2614714285714;18.4172428571429;23.9336714285714;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4039;2024-07-28;202431;22;4;304758.0;13.0378;90.6801;75.1105428571429;52.3851142857143;17.0232142857143;22.0037714285714;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4040;2024-07-21;202430;13;4;304758.0;11.0387428571429;92.0772714285714;72.1373;43.8841;16.3054714285714;22.5475571428571;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4041;2024-07-14;202429;29;4;304758.0;13.5185857142857;97.4106857142857;81.7770428571429;55.2110571428571;16.5156142857143;21.0678;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4042;2024-07-07;202428;25;4;304758.0;15.4143;96.8376857142857;84.5623857142857;63.5962857142857;18.2761142857143;22.4108428571429;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4043;2024-06-30;202427;42;4;304758.0;13.3980142857143;91.7892857142857;79.5667571428571;58.7547571428571;16.8160428571429;21.0588428571429;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4044;2024-06-23;202426;56;4;304758.0;15.606;87.4615285714286;71.6071428571429;48.9525285714286;19.2239571428571;24.3063571428571;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4045;2024-06-16;202425;77;4;304758.0;12.7024571428571;81.0135285714286;63.6833857142857;39.1449142857143;17.9136428571429;23.9546142857143;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4046;2024-06-09;202424;97;4;304758.0;12.7719857142857;88.5034571428571;70.1339571428571;44.4835;18.1154714285714;24.2852;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4047;2024-06-02;202423;115;4;304758.0;13.3016428571429;94.2210142857143;80.469;59.1471285714286;16.8842428571429;21.5617857142857;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4048;2024-05-26;202422;166;4;304758.0;14.1929;97.2313142857143;85.1099428571429;66.7251;16.5513428571429;19.7350571428571;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4049;2024-05-19;202421;338;4;304758.0;16.675;93.3320857142857;77.9427;54.0890714285714;19.9749285714286;24.6141428571429;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4050;2024-05-12;202420;389;4;304758.0;17.2470571428571;88.0784428571429;72.1286142857143;50.8863571428571;21.1136142857143;25.8147714285714;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4051;2024-05-05;202419;455;4;304758.0;16.3317857142857;90.4463428571429;70.5692571428571;45.4442571428571;21.0956285714286;26.7292857142857;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4052;2024-04-28;202418;441;4;304758.0;17.4620285714286;88.2652285714286;70.7092;46.1703285714286;22.2319285714286;27.8094571428571;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4053;2024-04-21;202417;410;4;304758.0;16.1232571428571;92.8107142857143;77.3591428571429;55.2277285714286;20.0291285714286;25.0274857142857;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4054;2024-04-14;202416;530;4;304758.0;17.2865428571429;92.3930142857143;79.4731571428571;62.9941142857143;20.0335428571429;23.5620714285714;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4055;2024-04-07;202415;603;4;304758.0;17.9239142857143;95.4047857142857;81.5025;62.0733571428571;20.8993285714286;24.7126857142857;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4056;2024-03-31;202414;820;4;304758.0;17.5039;99.0720571428571;81.9301;58.1054428571429;21.1471714285714;25.5457857142857;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4057;2024-03-24;202413;763;4;304758.0;18.1766571428571;98.5516571428571;92.2729285714286;81.1224;19.7474714285714;22.0032857142857;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4058;2024-03-17;202412;860;4;304758.0;20.3137714285714;96.1603571428572;85.3736571428571;69.2215142857143;23.1458142857143;26.7096285714286;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4059;2024-03-10;202411;949;4;304758.0;19.4739;96.5927285714286;81.8036428571429;59.3809714285714;22.8118285714286;27.1811571428571;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4060;2024-03-03;202410;964;4;304758.0;19.0658714285714;95.9225285714286;83.5787142857143;65.7560285714286;22.2445857142857;26.4485857142857;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4061;2024-02-25;202409;913;4;304758.0;20.0429142857143;96.3421142857143;83.8309;64.7371714285714;22.8154714285714;26.7822285714286;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4062;2024-02-18;202408;748;4;304758.0;19.859;95.9507714285714;87.2622;70.6608714285714;22.0622571428571;25.9574428571429;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4063;2024-02-11;202407;494;4;304758.0;19.2030428571429;93.2893285714286;80.3062428571429;61.8946428571429;22.4685571428571;26.8339;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4064;2024-02-04;202406;386;4;304758.0;18.9295571428571;96.6526285714286;82.1745571428571;63.1655714285714;22.3447428571429;26.8331142857143;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4065;2024-01-28;202405;282;4;304758.0;19.0287857142857;98.0586;85.5702285714286;65.1617142857143;21.9765142857143;26.4136714285714;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4066;2024-01-21;202404;189;4;304758.0;18.0465428571429;97.9358714285714;89.6808285714286;76.412;20.0716714285714;22.8748;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4067;2024-01-14;202403;136;4;304758.0;20.8104428571429;94.5219714285714;81.4717;63.5995285714286;23.9841142857143;28.3099428571429;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4068;2024-01-07;202402;121;4;304758.0;20.1532857142857;93.6349714285714;81.6826285714286;64.4125571428571;23.1303857142857;27.0823142857143;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4069;2023-12-31;202401;101;4;304758.0;18.3619571428571;96.3724142857143;87.7283142857143;77.2215142857143;20.2507285714286;22.6835571428571;Petrópolis;3229;-22.397956635468034;-43.1568323490078
4070;2025-05-25;202522;0;1;24553.0;15.237275;93.58225;75.49745;48.270475;20.040975;26.07065;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4071;2025-05-18;202521;2;1;24553.0;15.0262857142857;93.2798571428571;76.4103714285714;51.7039571428571;19.8936;25.4389142857143;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4072;2025-05-11;202520;5;1;24553.0;16.0651571428571;94.5697285714286;81.6800857142857;63.5321285714286;18.9135428571429;22.4021285714286;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4073;2025-05-04;202519;12;1;24553.0;15.5755428571429;94.2994714285714;76.5978571428572;50.2414571428571;20.6516;26.7025857142857;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4074;2025-04-27;202518;14;1;24553.0;16.3774714285714;96.8555285714286;81.1338;59.0086428571429;20.1645428571429;24.3297285714286;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4075;2025-04-20;202517;1;1;24553.0;18.6220428571429;95.0495571428571;84.7393285714286;69.0229285714286;21.0815428571429;24.2441;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4076;2025-04-13;202516;7;1;24553.0;19.0427428571429;95.4949142857143;83.6405571428571;65.6343142857143;22.0774;25.9834285714286;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4077;2025-04-06;202515;4;1;24553.0;17.3535;95.6831714285714;81.4084428571429;60.1050285714286;20.8846857142857;25.0737857142857;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4078;2025-03-30;202514;19;1;24553.0;20.3499142857143;95.2977857142857;83.4021;65.5795285714286;23.6847;27.5590714285714;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4079;2025-03-23;202513;16;1;24553.0;19.5600428571429;97.0276285714286;80.4875285714286;60.3215285714286;23.5691857142857;27.8084428571429;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4080;2025-03-16;202512;22;2;24553.0;20.1088857142857;95.7553;83.3527857142857;67.2948428571429;22.8487142857143;26.0840428571429;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4081;2025-03-09;202511;9;2;24553.0;20.8473285714286;96.4427714285714;80.0896857142857;58.4475571428571;24.8115857142857;29.5347142857143;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4082;2025-03-02;202510;12;2;24553.0;20.6339571428571;89.3566285714286;67.7514285714286;43.7646714285714;25.4487857142857;30.3096428571429;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4083;2025-02-23;202509;11;2;24553.0;20.6560428571429;88.5420142857143;66.4523857142857;40.9446;26.1913;31.9474571428571;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4084;2025-02-16;202508;8;2;24553.0;21.5926285714286;89.7463714285714;66.3604142857143;40.2214714285714;27.3863;32.9516857142857;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4085;2025-02-09;202507;15;2;24553.0;21.1435714285714;91.7883;71.0325;45.5255857142857;25.9857;31.1694142857143;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4086;2025-02-02;202506;12;2;24553.0;20.8845857142857;92.5900714285714;72.8731142857143;49.4261857142857;26.1048571428571;30.7381285714286;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4087;2025-01-26;202505;15;2;24553.0;21.6892;95.6953714285714;88.3879714285714;75.7073571428571;23.7691285714286;26.5187571428571;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4088;2025-01-19;202504;3;1;24553.0;21.9916714285714;94.1674857142857;74.2500428571429;51.0825;26.9668571428571;32.0657857142857;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4089;2025-01-12;202503;2;1;24553.0;20.2008714285714;92.2700857142857;80.0466285714286;63.7647571428571;22.9819285714286;26.5008714285714;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4090;2025-01-05;202502;4;1;24553.0;19.5900285714286;97.0368714285714;85.1176428571429;70.1552571428571;22.4742571428571;26.0776571428571;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4091;2024-12-29;202501;0;1;24553.0;19.5656857142857;97.0707571428571;81.5123571428571;58.7336285714286;23.7100142857143;28.9840285714286;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4092;2024-12-22;202452;2;1;24553.0;21.4209142857143;93.1345142857143;84.1248428571429;71.3428857142857;23.6016571428571;27.0531571428571;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4093;2024-12-15;202451;0;1;24553.0;20.9342571428571;91.6372571428571;77.9137285714286;59.8051857142857;24.1147142857143;28.2673142857143;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4094;2024-12-08;202450;2;1;24553.0;20.5896714285714;94.0941;80.3911571428571;56.8575142857143;23.5587;28.3817571428571;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4095;2024-12-01;202449;5;1;24553.0;20.8709142857143;94.4318142857143;80.4319857142857;61.5890857142857;24.5383857142857;29.1117857142857;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4096;2024-11-24;202448;1;1;24553.0;19.2445;90.4177714285714;72.1843571428571;49.4594;23.8322857142857;28.9515;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4097;2024-11-17;202447;0;1;24553.0;19.2006142857143;95.7107;82.7656857142857;64.8402714285714;22.2323428571429;26.4792571428571;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4098;2024-11-10;202446;0;1;24553.0;18.2075285714286;93.8368857142857;82.8348857142857;68.1570285714286;21.0980285714286;24.8671;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4099;2024-11-03;202445;0;1;24553.0;20.8987142857143;91.2343;80.3847571428571;66.1216;23.1554428571429;26.1909;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4100;2024-10-27;202444;0;1;24553.0;18.3518714285714;94.3813714285714;80.2777714285714;62.8324428571429;21.1469285714286;24.9661;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4101;2024-10-20;202443;0;1;24553.0;20.2057571428571;92.5262857142857;79.6213571428571;61.9402714285714;23.6450142857143;28.3042428571429;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4102;2024-10-13;202442;0;1;24553.0;18.2821714285714;90.7068714285714;76.9672857142857;56.5834428571429;21.5790857142857;26.5507;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4103;2024-10-06;202441;0;1;24553.0;17.9446142857143;88.8137571428571;75.1578428571429;55.7320714285714;21.6968142857143;27.7185857142857;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4104;2024-09-29;202440;0;1;24553.0;18.0182142857143;88.1843428571429;71.2478714285714;49.4916285714286;22.3240428571429;27.6602285714286;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4105;2024-09-22;202439;0;1;24553.0;19.2216571428571;86.9929285714286;63.8956;36.9146142857143;24.8350571428571;31.5514857142857;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4106;2024-09-15;202438;0;1;24553.0;17.4777142857143;90.8967428571429;73.5597714285714;51.5074428571429;21.6042;26.8860428571429;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4107;2024-09-08;202437;0;1;24553.0;17.1335;78.3243285714286;53.9346571428571;24.6027428571429;24.9494571428571;33.1751857142857;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4108;2024-09-01;202436;0;1;24553.0;16.0057857142857;95.4969714285714;75.7583714285714;46.7300142857143;21.6088142857143;28.7306857142857;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4109;2024-08-25;202435;0;1;24553.0;12.4661;92.1033571428571;75.9952714285714;52.1788285714286;17.0747285714286;22.6288285714286;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4110;2024-08-18;202434;0;1;24553.0;14.6422142857143;86.0878142857143;63.7404;34.7566;21.7435714285714;29.7764857142857;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4111;2024-08-11;202433;0;1;24553.0;10.5012;93.7008;71.6880428571429;41.0881142857143;17.1101571428571;24.4519714285714;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4112;2024-08-04;202432;0;1;24553.0;15.0863428571429;87.6139142857143;68.7564714285714;44.3312142857143;20.7935714285714;26.9951857142857;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4113;2024-07-28;202431;0;1;24553.0;14.0012857142857;93.9363142857143;76.1577428571428;51.6103;18.8610142857143;24.3765857142857;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4114;2024-07-21;202430;0;1;24553.0;11.7968571428571;95.5369714285714;75.4521857142857;45.3323571428571;17.8780285714286;24.7076285714286;Pinheiral;3230;-22.543325650014573;-43.99754675283612
4115;2024-07-14;202429;2;1;24553.0;15.3229142857143;97.2928714285714;82.3551857142857;55.7421714285714;18.5938142857143;23.1532142857143;Pinheiral;3230;-22.543325650014573;-43.99754675283612
